Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,79.22,79.02,79.49,78.74,4540300,79.02,-0.5979152597167581,-0.5919915576175323,-0.5979152597167581,-0.6068013453764722,-0.5824144100915066
03.01.2014,79.31,79.15,79.49,78.84,3506000,79.15,-0.593878087698023,-0.5891976505135523,-0.593878087698023,-0.6068013453764722,-0.5792784572159944
06.01.2014,79.3,78.94,79.44,78.62,4252300,78.94,-0.6003996732667487,-0.589508084636217,-0.6003996732667487,-0.6083397132216087,-0.5861775535421209
07.01.2014,79.19,79.61,79.77,78.7,4563300,79.61,-0.5795927097855768,-0.5929228599855256,-0.5795927097855768,-0.598186485443707,-0.5836687912417112
08.01.2014,79.21,78.48,79.22,78.13,8282500,78.48,-0.6146850511791949,-0.5923019917401969,-0.6146850511791949,-0.6151085317402099,-0.6015437226321303
09.01.2014,78.56,78.48,78.56,77.67,5643500,78.48,-0.6146850511791949,-0.6124802097133845,-0.6146850511791949,-0.6354149872960132,-0.6159691058594856
10.01.2014,77.97,77.02,78.19,76.62,8127500,77.02,-0.660025598466525,-0.6307958229505858,-0.660025598466525,-0.6467989093500245,-0.6488966110523623
13.01.2014,76.9,75.9,76.95,75.75,6504200,75.9,-0.6948073881663941,-0.6640122740756793,-0.6948073881663941,-0.6849504319094126,-0.6761794010693175
14.01.2014,76.0,76.11,76.22,75.62,6904600,76.11,-0.6882858025976688,-0.691951345115478,-0.6882858025976688,-0.7074106024484076,-0.6802561398074831
15.01.2014,76.18,75.86,76.43,75.78,5829300,75.86,-0.6960495949413896,-0.686363530907518,-0.6960495949413896,-0.7009494574988334,-0.6752386152066638
16.01.2014,75.81,75.64,75.93,75.23,5041100,75.64,-0.702881732203864,-0.697849593446102,-0.702881732203864,-0.7163331359501998,-0.6924863560219802
17.01.2014,75.76,75.93,76.62,75.58,7199700,75.93,-0.6938757330851476,-0.699401764059424,-0.6938757330851476,-0.6951036596873144,-0.681510520957688
21.01.2014,76.85,76.61,76.95,76.07,5602300,76.61,-0.672758217910227,-0.6655644446890018,-0.672758217910227,-0.6849504319094126,-0.6661443518676791
22.01.2014,76.71,76.66,76.87,76.36,4977500,76.66,-0.671205459441483,-0.6699105224063038,-0.671205459441483,-0.6874118204616312,-0.6570500885286938
23.01.2014,76.28,75.36,76.29,75.27,6205800,75.36,-0.7115771796288314,-0.683259189680874,-0.7115771796288314,-0.7052568874652161,-0.6912319748717756
24.01.2014,75.03,74.02,75.2,74.0,7094900,74.02,-0.7531911065911753,-0.7220634550139273,-0.7531911065911753,-0.7387933064891946,-0.7310585763907788
27.01.2014,74.0,74.11,74.63,73.76,6179500,74.11,-0.7503961413474357,-0.7540381696483635,-0.7503961413474357,-0.7563306999237525,-0.7385848632920077
28.01.2014,74.29,74.37,74.49,73.88,4303700,74.37,-0.7423217973099658,-0.7450355800910948,-0.7423217973099658,-0.760638129890135,-0.7348217198413934
29.01.2014,73.92,73.84,74.4,73.65,5522100,73.84,-0.7587810370786541,-0.7565216426296788,-0.7587810370786541,-0.7634071920113806,-0.7420344114550709
30.01.2014,74.03,74.12,74.45,73.31,5538700,74.12,-0.7500855896536867,-0.7531068672803701,-0.7500855896536867,-0.761868824166244,-0.7526966512318121
31.01.2014,72.5,71.05,72.5,70.72,15523500,71.05,-0.8454249596345791,-0.8006032880480275,-0.8454249596345791,-0.8218651701265727,-0.8339178307075749
03.02.2014,71.51,70.74,71.58,70.36,11275300,70.74,-0.8550520621407931,-0.8313362661918057,-0.8550520621407931,-0.8501711384770866,-0.8452072610594183
04.02.2014,71.2,70.54,71.31,70.33,9717200,70.54,-0.8612630960157694,-0.840959723994403,-0.8612630960157694,-0.8584783248408243,-0.846148046922072
05.02.2014,70.65,69.71,70.65,69.55,10562900,69.71,-0.8870388865969231,-0.8580336007409464,-0.8870388865969231,-0.8787847803966277,-0.8706084793510662
06.02.2014,70.09,70.82,70.88,69.96,7983300,70.82,-0.8525676485908025,-0.8754179116101544,-0.8525676485908025,-0.8717082883089995,-0.8577510725614668
07.02.2014,71.23,71.32,71.37,70.26,7071800,71.32,-0.8370400639033607,-0.8400284216264097,-0.8370400639033607,-0.8566322834266603,-0.8483432139349302
10.02.2014,71.59,71.09,71.59,70.7,9251300,71.09,-0.8441827528595836,-0.8288527932104903,-0.8441827528595836,-0.8498634649080592,-0.8345450212826772
